minute,event_count
2018-01-08 15:56:00,181
2018-01-08 15:57:00,99
2018-01-08 15:58:00,30
2018-01-08 15:59:00,48
2018-01-08 16:00:00,91
2018-01-08 16:01:00,31
2018-01-08 16:02:00,182
2018-01-08 16:03:00,31
2018-01-08 16:04:00,93
2018-01-08 16:05:00,69
2018-01-08 16:06:00,897
2018-01-08 16:07:00,72
2018-01-08 16:08:00,185
2018-01-08 16:09:00,8
2018-01-08 16:10:00,134
2018-01-08 16:11:00,162
2018-01-08 16:12:00,27
2018-01-08 16:13:00,9
2018-01-08 16:14:00,156
2018-01-08 16:15:00,37
2018-01-08 16:16:00,64
2018-01-08 16:17:00,4
2018-01-08 16:18:00,25
2018-01-08 16:19:00,13
2018-01-08 16:20:00,76
2018-01-08 16:21:00,3
2018-01-08 16:22:00,261
2018-01-08 16:23:00,217
2018-01-08 16:24:00,97
2018-01-08 16:25:00,373
2018-01-08 16:26:00,149
2018-01-08 16:27:00,44
2018-01-08 16:28:00,79
2018-01-08 16:29:00,108
2018-01-08 16:30:00,286
2018-01-08 16:31:00,31
2018-01-08 16:32:00,64
2018-01-08 16:33:00,16
2018-01-08 16:34:00,14
2018-01-08 16:35:00,1
2018-01-08 16:36:00,26
2018-01-08 16:37:00,19
2018-01-08 16:38:00,22
2018-01-08 16:39:00,3
2018-01-08 16:40:00,11
2018-01-08 16:41:00,18
2018-01-08 16:42:00,15
2018-01-08 16:43:00,1
2018-01-08 16:44:00,15
2018-01-08 16:45:00,215
2018-01-08 16:46:00,6
2018-01-08 16:47:00,22
2018-01-08 16:48:00,1
2018-01-08 16:49:00,84
2018-01-08 16:50:00,10
2018-01-08 16:51:00,22
2018-01-08 16:52:00,17
2018-01-08 16:53:00,51
2018-01-08 16:54:00,274
2018-01-08 16:55:00,11
2018-01-08 16:56:00,3
2018-01-08 16:57:00,23
2018-01-08 16:58:00,44
2018-01-08 16:59:00,748
2018-01-08 17:00:00,256
2018-01-08 17:01:00,41
2018-01-08 17:02:00,14
2018-01-08 17:03:00,39
2018-01-08 17:04:00,1
2018-01-08 17:05:00,2
2018-01-08 17:06:00,7
2018-01-08 17:07:00,1
2018-01-08 17:08:00,4
2018-01-08 17:09:00,4
2018-01-08 17:10:00,1
2018-01-08 17:12:00,1
2018-01-08 17:13:00,9
2018-01-08 17:15:00,3
2018-01-08 17:18:00,2
2018-01-08 17:19:00,1
2018-01-08 17:20:00,6
2018-01-08 17:22:00,30
2018-01-08 17:25:00,2
2018-01-08 17:26:00,1
2018-01-08 17:27:00,53
2018-01-08 17:28:00,3
2018-01-08 17:29:00,9
2018-01-08 17:30:00,1
